Point ID,EdgeArray_0,EdgeArray_1,EdgeArray_Magnitude,EdgePCoordArray,MaximumInscribedSphereRadius,Points_0,Points_1,Points_2,Points_Magnitude,TCoords__0,TCoords__1,TCoords__Magnitude
1103,72272,38416,81847,0.048467,0.80365,34.7386,56.559,42.0478,78.573,0.968142,0,0.968142
1104,78547,78544,111080,0.300981,0.806442,34.7431,56.6202,41.9689,78.5768,0.969027,0,0.969027
1105,63206,28101,69171,0.504061,0.809593,34.7512,56.6751,41.8858,78.5757,0.969912,0,0.969912
1106,57657,57657,81539,0,0.815314,34.7575,56.7314,41.8033,78.5751,0.970796,0,0.970796
1107,59766,59766,84521,0,0.819862,34.7572,56.7868,41.7203,78.5709,0.971681,0,0.971681
1108,59369,58795,83555,0.00620895,0.822049,34.7493,56.835,41.6327,78.5558,0.972566,0,0.972566
1109,59370,57903,82931,0.0158708,0.824996,34.7554,56.8892,41.548,78.5529,0.973451,0,0.973451
1110,56471,56471,79862,0,0.828353,34.7727,56.9502,41.4702,78.5636,0.974336,0,0.974336
1111,37307,37307,52760,0,0.832359,34.786,57.0126,41.3932,78.5741,0.975221,0,0.975221
1112,39119,28175,48209,0.0550699,0.837275,34.7997,57.0691,41.3116,78.5783,0.976106,0,0.976106
1113,49532,40673,64091,0.469193,0.843131,34.814,57.1273,41.2318,78.585,0.976991,0,0.976991
1114,50701,58231,77210,0.558694,0.843177,34.8323,57.1867,41.1538,78.5955,0.977876,0,0.977876
1115,64457,64984,91529,0.334709,0.846024,34.859,57.2411,41.0736,78.605,0.978761,0,0.978761
1116,55785,62428,83721,0.253232,0.85871,34.8794,57.3008,40.9958,78.6168,0.979646,0,0.979646
1117,27434,62193,67974,0.261652,0.870815,34.8927,57.3651,40.9204,78.6304,0.980531,0,0.980531
1118,67368,70071,97202,0.876219,0.87963,34.9185,57.424,40.8435,78.6448,0.981416,0,0.981416
1119,65481,65481,92604,0,0.889724,34.9473,57.4833,40.7682,78.6619,0.982301,0,0.982301
